Year,Date,Sport,Event,Event_gender,Team,Country_Code,Athlete,Gender,Medal,CGA,Host_City,Games,Season
1930,16–23 August 1930,Swimming,100 yd freestyle,Men,Canada,CAN,Munroe Bourne,Male,Gold,CAN,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1931,Swimming,100 yd freestyle,Men,England,ENG,Norman Brooks,Male,Silver,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1932,Swimming,100 yd freestyle,Men,Canada,CAN,Bert Gibson,Male,Bronze,CAN,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1933,Swimming,400 yd freestyle,Men,Australia,AUS,Noel Ryan,Male,Gold,AUS,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1934,Swimming,400 yd freestyle,Men,New Zealand,NZL,Gordon Bridson,Male,Silver,NZL,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1935,Swimming,400 yd freestyle,Men,Canada,CAN,George Burleigh,Male,Bronze,CAN,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1936,Swimming,1500 yd freestyle,Men,Australia,AUS,Noel Ryan,Male,Gold,AUS,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1937,Swimming,1500 yd freestyle,Men,New Zealand,NZL,Gordon Bridson,Male,Silver,NZL,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1938,Swimming,1500 yd freestyle,Men,Canada,CAN,George Burleigh,Male,Bronze,CAN,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1939,Swimming,100 yd backstroke,Men,England,ENG,Bill Trippett,Male,Gold,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1940,Swimming,100 yd backstroke,Men,Scotland,SCO,Willie Francis,Male,Silver,SCO,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1941,Swimming,100 yd backstroke,Men,England,ENG,John Besford,Male,Bronze,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1942,Swimming,200 yd breaststroke,Men,Canada,CAN,Jack Aubin,Male,Gold,CAN,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1943,Swimming,200 yd breaststroke,Men,England,ENG,Stanley Bell,Male,Silver,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1944,Swimming,200 yd breaststroke,Men,England,ENG,Reginald Flint,Male,Bronze,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1945,Swimming,4×200 yd freestyle relay,Men,Canada,CAN,Bert Gibson,Male,Gold,CAN,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1946,Swimming,4×200 yd freestyle relay,Men,Canada,CAN,Munroe Bourne,Male,Gold,CAN,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1947,Swimming,4×200 yd freestyle relay,Men,Canada,CAN,George Burleigh,Male,Gold,CAN,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1948,Swimming,4×200 yd freestyle relay,Men,Canada,CAN,James Thompson,Male,Gold,CAN,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1949,Swimming,4×200 yd freestyle relay,Men,England,ENG,Freddie Milton,Male,Silver,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1950,Swimming,4×200 yd freestyle relay,Men,England,ENG,Norman Brooks,Male,Silver,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1951,Swimming,4×200 yd freestyle relay,Men,England,ENG,Arthur Watts,Male,Silver,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1952,Swimming,4×200 yd freestyle relay,Men,England,ENG,Joseph Whiteside,Male,Silver,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1953,Swimming,100 yd freestyle,Women,England,ENG,Joyce Cooper,Female,Gold,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1954,Swimming,100 yd freestyle,Women,Scotland,SCO,Ellen King,Female,Silver,SCO,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1955,Swimming,100 yd freestyle,Women,Wales,WAL,Valerie Davies,Female,Bronze,WAL,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1956,Swimming,400 yd freestyle,Women,England,ENG,Joyce Cooper,Female,Gold,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1957,Swimming,400 yd freestyle,Women,Wales,WAL,Valerie Davies,Female,Silver,WAL,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1958,Swimming,400 yd freestyle,Women,Scotland,SCO,Cissie Stewart,Female,Bronze,SCO,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1959,Swimming,100 yd backstroke,Women,England,ENG,Joyce Cooper,Female,Gold,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1960,Swimming,100 yd backstroke,Women,Wales,WAL,Valerie Davies,Female,Silver,WAL,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1961,Swimming,100 yd backstroke,Women,England,ENG,Phyllis Harding,Female,Bronze,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1962,Swimming,200 yd breaststroke,Women,England,ENG,Cecelia Wolstenholme,Female,Gold,ENG,Hamilton,1930 British Empire Games,Summer
1930,16–23 August 1963,Swimming,200 yd breaststroke,Women,England,ENG,Margery Hinton,Female,Silver,ENG,Hamilton,1930 British Empire Games,Summer
